week_start	sub-BPAE-8bipolar-1Hz-03/sub-BPAE-8bipolar-1Hz-03_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-05/sub-BPAE-8bipolar-1Hz-05_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-12/sub-BPAE-8bipolar-1Hz-12_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-600ns-04/sub-BPAE-8bipolar-1Hz-600ns-04_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-600ns-07/sub-BPAE-8bipolar-1Hz-600ns-07_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-600ns-11/sub-BPAE-8bipolar-1Hz-600ns-11_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-770kHz-02/sub-BPAE-8bipolar-770kHz-02_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-08/sub-BPAE-8bipolar-770kHz-08_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-09/sub-BPAE-8bipolar-770kHz-09_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-10/sub-BPAE-8bipolar-770kHz-10_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-600ns-01/sub-BPAE-8bipolar-770kHz-600ns-01_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-600ns-06/sub-BPAE-8bipolar-770kHz-600ns-06_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-600ns-10/sub-BPAE-8bipolar-770kHz-600ns-10_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8unipolar-1Hz-04/sub-BPAE-8unipolar-1Hz-04_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-07/sub-BPAE-8unipolar-1Hz-07_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-11/sub-BPAE-8unipolar-1Hz-11_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-600ns-03/sub-BPAE-8unipolar-1Hz-600ns-03_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-600ns-08/sub-BPAE-8unipolar-1Hz-600ns-08_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-600ns-09/sub-BPAE-8unipolar-1Hz-600ns-09_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-770kHz-01/sub-BPAE-8unipolar-770kHz-01_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-06/sub-BPAE-8unipolar-770kHz-06_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-600ns-02/sub-BPAE-8unipolar-770kHz-600ns-02_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-600ns-05/sub-BPAE-8unipolar-770kHz-600ns-05_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-600ns-12/sub-BPAE-8unipolar-770kHz-600ns-12_ses-Co-directional-770kHz_image.nwb
2023-10-09	1093466900	1235085749	687865856	1227680666	904947423	713031680	698541072	704643072	871722970	717868502	704643072	714154757	729808896	699207530	719254773	687865856	1082130432	1073741824	1059048569	369098752	360710144	352321536	369098752	1619001344
2023-10-16	0	84288	0	0	0	771751936	341034648	0	0	0	0	989855744	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	186160	0	0	0	0	50703192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-30	1790912390	97328	0	0	0	0	329046684	0	0	0	0	0	0	0	0	0	0	1168660797	0	0	0	0	0	0
2023-11-06	0	38304	0	0	0	0	308739204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855638016	0
2023-11-13	0	119855103	0	0	0	0	290790012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-20	0	1907008355	0	0	1810917087	1792193928	0	1760742440	1735749594	0	0	1813062405	0	0	3535661546	1758308426	0	0	1788857465	1807148171	1746361673	0	0	1796975885
2023-11-27	0	842861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	206880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	50276230	98292586	101866252	87403492	49309407	46314888	50682189	51563560	47542234	50974166	52391090	51454725	46296718	52236138	48166133	49129546	52521105	48781629	11521145	0	0	0	0	0
2024-01-22	19228854	23659084	30246942	30500264	19676464	21509344	25645851	32175888	16590270	16006296	29476028	19590628	13469668	13064782	5096394	9200276	0	11261717	14032947	9311659	5961228	19062027	6230245	572685
2024-03-04	0	49146293	0	0	0	0	179950476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	2291590	2419069	4413930	7758442	5961228	2037128	417744516	8057484	2219994	11836894	5895720	7467912	0	2264938	8264645	131016	5633688	10746629	2079865	2161764	2080073	0	4913100	0
2024-03-18	14787066	17513586	14436786	8200446	25494309	9029932	161735827	10513620	15436058	21122478	8982754	24627459	33642770	13429140	11468622	1841226	13295886	19953470	14214858	33543990	8090257	14439313	16703358	30233052
2024-03-25	28966818	6419784	8262350	21302046	5448861	11236860	219397660	8171916	17180944	8413926	14624600	19933902	13363632	1855338	11793801	7364904	10872090	0	1670265	8124939	6681892	13746278	8122401	15320961
2024-04-01	1881990	8232729	1842566	1846170	6616308	7467912	186142068	9367644	0	8413926	9113770	0	6419784	1855338	0	8850582	0	7009356	0	1836171	6943848	1665253	0	6812832
2024-04-08	0	0	0	0	0	0	487134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	20480000	54380864	5437164	58604386	16384000	39628800	670705599	18081320	0	18144726	38502400	19219205	37625116	46187876	18838773	56625226	20145172	46234961	0	0	0	0	0	0
2024-04-22	0	0	0	0	0	0	321990956	0	0	0	0	0	0	0	0	0	0	0	15872000	65722695	11366400	18663653	6354276	45318685
2024-04-29	0	0	0	0	0	0	313835565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	0	0	0	0	0	0	401704341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
