region	bytes_sent	number_of_requests	number_of_downloads
missing	32187925836	40680	5640
VPN	8147984962	1380	800
undetermined	5161518839	2960	560
US/Massachusetts	1339396304	80	<50
CN/Shanghai	1873760993	320	<50
AWS/ap-southeast-1	728165504	60	60
US/California	683205944	140	<50
AWS/us-east-1	1596198148	240	<50
US/Arizona	1430903832	100	100
GitHub	653597300	1280	140
GCP/us-west1	30081128	<50	<50
MX/Mexico City	113085420	360	60
US/Pennsylvania	68529756	80	<50
IN/Rajasthan	9600180	<50	<50
SG/Singapore	111343512	<50	<50
PA/Colón	20717992	<50	<50
US/Virginia	5253404	<50	<50
CN/Beijing	18800797	<50	<50
CH/Vaud	1874248	<50	<50
CA/Ontario	26509780	<50	<50
US/New Jersey	2351792	<50	<50
US/New York	61257340	<50	<50
AWS/us-west-2	21120504	<50	<50
IN/Uttar Pradesh	9566340	<50	<50
SA/Mecca Region	12774060	<50	<50
US/Wyoming	5646452	<50	<50
CO/Bogota D.C.	18987676	<50	<50
UA/Odesa	18987676	<50	<50
HK/Hong Kong	13169048	<50	<50
