week_start	sub-Kibbles/sub-Kibbles_behavior+ecephys.nwb
2021-04-19	124839264256
2021-04-26	237685085456
2021-05-03	19577380
2021-11-22	200113606637
2022-04-11	53777503440
2022-04-25	2358057217
2022-05-02	718012000
2022-05-09	174637960
2022-05-16	941280
2022-05-30	174742520
2022-06-06	635144
2022-07-11	126716654912
2022-08-08	113131033872
2022-08-22	75591424408
2022-09-12	11641312
2022-10-03	1135824470
2022-11-07	20927736
2023-02-06	524288000
2023-04-03	1080298240
2023-04-10	10053677
2023-04-17	42372007
2023-04-24	49306576
2023-05-01	93969548
2023-05-08	50468415
2023-05-15	611984743
2023-05-22	150459234
2023-05-29	29830149
2023-06-05	68652151
2023-06-12	29597406
2023-06-26	29697421
2023-07-03	89156806
2023-07-10	22876372
2023-07-17	35571104
2023-07-24	37063825
2023-07-31	284300562
2023-08-07	88330484
2023-08-14	85543196
2023-08-21	10153692
2023-08-28	72801308
2023-09-04	91847776
2023-09-11	30328348
2023-09-18	24952864
2023-09-25	20771932
2023-10-02	18250100
2023-10-09	75190412
2023-10-16	57935772
2023-10-23	19577380
2023-10-30	460356560
2023-11-06	17652824
2023-11-13	39287488
2023-11-27	237685085456
2023-12-04	72520976
2024-01-22	31374692
2024-03-04	33646548
2024-03-11	97529360
2024-03-18	93436516
2024-03-25	137797024
2024-04-01	577437696
2024-04-08	1386616052
2024-04-15	13489270780
2024-04-22	1879654920
2024-04-29	2330861624
2024-05-06	2963957544
2024-05-13	1465261132
2024-05-20	1791306460
2024-05-27	1891223212
2024-06-03	1312657648
2024-06-10	336808480
2024-06-17	85956240
2024-07-08	32252904
2024-07-22	475377139132
2024-08-05	75389504
2024-08-19	35438376
2024-08-26	28005608
2024-09-09	145280969820
2024-09-16	13007344
2024-09-23	200772340
2024-09-30	72520976
2024-10-21	85992868
2025-02-03	32451996
2025-05-12	31457280
2025-06-23	221744684
2025-07-14	64872156
2025-08-04	308802801620
2025-09-08	125667302376
2025-09-29	4114568
2025-12-15	10153692
2026-01-26	131332484528
2026-02-09	19444652
2026-02-16	5343368
2026-02-23	20891784
2026-03-09	319492136
2026-03-23	1211696
2026-03-30	237944
