week_start	Neurophysiology
2024-06-03	7312206130
2024-06-10	185989628
2024-06-17	851250018
2024-07-08	3829272030
2024-07-22	4503127331
2024-07-29	882490721
2024-08-26	891624968
2024-09-02	2520707194
2024-09-09	1420018704
2024-09-16	94239994
2024-10-14	672247276
2024-10-21	52799448
2024-11-25	6354276
2024-12-02	1761046829
2025-02-24	17949192
2025-06-16	9971133536
2025-07-21	607613229
2025-07-28	1881084998
2025-08-04	1887436800
2025-08-11	681909768
2025-08-18	629145600
2025-08-25	976688370
2025-09-01	524288000
2025-09-08	734003200
2025-09-22	77639765
2025-10-06	408464509
2025-10-13	433421843
2025-10-20	229610557
2025-10-27	219969411
2025-11-03	855960507
2025-11-10	565626820
2025-11-17	350797538
2025-11-24	333521988
2025-12-01	362977735
2025-12-08	259593091
2025-12-15	16279090173
2025-12-22	1232076800
2025-12-29	573160801
2026-01-05	1016593032
2026-01-12	6857720389
2026-01-19	1397172405
2026-01-26	1579290193
2026-02-02	1235507014
2026-02-09	200279052
2026-02-16	185341657
2026-02-23	196387744
2026-03-02	15009126
2026-03-09	5967794
2026-03-16	245115699
2026-03-23	66275920
2026-03-30	204800
2026-04-20	46823286
