week_start	sub-03/sub-03_image.nwb	sub-04/sub-04_image.nwb	sub-05/sub-05_image.nwb	sub-06/sub-06_image.nwb	sub-07/sub-07_image.nwb	sub-08/sub-08_image.nwb	sub-09/sub-09_image.nwb	sub-10/sub-10_image.nwb	sub-11/sub-11_image.nwb	sub-12/sub-12_image.nwb	sub-13/sub-13_image.nwb	sub-14/sub-14_image.nwb
2024-06-03	615509578	568456520	622866776	603653274	756482624	571105561	547663405	535552209	489487124	831915181	553271186	505693464
2024-06-10	0	0	0	0	185989628	0	0	0	0	0	0	0
2024-06-17	0	0	0	851250018	0	0	0	0	0	0	0	0
2024-07-08	1763585	7658630	5642076	0	3790259018	2358288	3848645	7266429	1693673	3340908	0	3799464
2024-07-22	1859768946	0	6616308	1702500036	0	12512028	886879757	0	0	0	10415772	0
2024-07-29	0	0	0	0	0	0	882490721	0	0	0	0	0
2024-08-26	0	0	891624968	0	0	0	0	0	0	0	0	0
2024-09-02	1859768946	0	639966728	0	0	0	0	0	0	0	0	0
2024-09-09	0	0	0	0	0	0	0	0	608174080	0	581157904	0
2024-09-16	4389036	8575742	15533784	6878340	12184488	14572449	2161764	1632741	8703029	5832137	1714957	8787644
2024-10-14	89119552	0	91477840	0	0	97111528	201166904	97832116	0	0	0	95539336
2024-10-21	11725932	0	0	6943848	13429140	7860960	0	7926468	0	4913100	0	0
2024-11-25	0	0	0	0	0	0	0	6354276	0	0	0	0
2024-12-02	503316480	0	0	0	0	578253101	0	0	0	494927872	0	0
2025-02-24	0	0	8057484	0	0	0	0	0	9891708	0	0	0
2025-06-16	929884473	944432790	891624968	851250018	946166674	922186029	882490721	864348645	949868521	932578477	0	856302220
2025-07-21	0	0	0	0	0	607613229	0	0	0	0	0	0
2025-07-28	825026873	0	0	0	0	0	0	419430400	0	0	479341325	0
2025-08-04	0	0	0	0	629145600	0	681574400	0	0	576716800	0	0
2025-08-11	0	0	419765768	262144000	0	0	0	0	0	0	0	0
2025-08-18	0	419430400	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	287631845	0	0	636627725	0
2025-09-01	0	0	0	0	0	0	0	0	524288000	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	681574400
2025-09-22	13753827	13645362	21934376	10227042	13952154	0	0	0	0	0	0	0
2025-10-06	29537451	51195618	37431408	11495076	45395294	16332524	32459934	27901734	33958218	38440590	24257145	26854452
2025-10-13	37925328	36645236	32762780	33972114	26333166	36923068	27284322	29278960	27603942	30483469	34472556	25891116
2025-10-20	16113066	14038410	14654208	18103590	21354908	12577536	22535232	24693400	24625888	7922266	8385024	28272516
2025-10-27	14672841	20399252	24386536	15622080	10152690	14705943	10104729	20961002	7825646	16503814	13240290	11633484
2025-11-03	66283635	62042794	56671176	72333264	69630804	56433333	64477809	57968348	56089682	70535308	52437096	79099068
2025-11-10	48533820	46897314	40481920	36419292	52337392	42054930	38585172	30260801	34169839	30020711	47119437	44098512
2025-11-17	24037632	17588974	22842708	25783614	31311774	27414495	18719271	30064277	27654353	32413854	35397342	26592420
2025-11-24	26132937	17457958	31105496	28542744	35045030	24783056	28070898	28690946	20498884	21901921	11810625	26919960
2025-12-01	20764134	37103792	32435240	28854696	28100832	20940322	28529454	34387805	21990471	26819223	15602415	24977832
2025-12-08	22400883	20333744	20643800	21124752	18386358	25263850	14068203	13294229	11524288	27277779	17170770	19868208
2025-12-15	2421845288	1925183276	928139264	896038746	978395560	2493336337	924154289	923235663	986578075	968499110	41543583	1756009304
2025-12-22	0	597688320	0	0	0	0	0	0	0	545259520	0	0
2025-12-29	0	0	0	0	0	0	457817441	0	0	0	0	0
2026-01-05	34779993	38486026	601997492	21853134	32620884	24805294	27677850	15915328	34139645	35951286	33100725	32877360
2026-01-12	940370233	2176363864	0	0	0	1854857818	0	0	0	953549997	0	10485760
2026-01-19	16178574	16324624	21036848	575884098	594888884	15098991	14690289	21223034	17994483	16700338	13240290	12203772
2026-01-26	15587100	19809680	7869740	18284526	24957148	25110596	8745558	556383096	25185266	10315409	649545266	18338412
2026-02-02	12905076	16717672	10845964	10489074	7860260	12882838	9810183	5500335	472951125	14896767	22018362	474494324
2026-02-09	7924566	1840790	7869740	10489074	16048760	12271028	12086466	9561831	16407194	16503814	19991451	10654692
2026-02-16	12585812	12133822	22195400	15942308	21567984	8297278	15419153	6361773	22974546	7922266	4127004	12531312
2026-02-23	17357718	9714882	12586316	12462108	7794752	11125241	22322211	20371430	22252503	8249806	13633338	13036092
2026-03-02	0	0	0	4127004	0	0	0	0	0	4454544	4585560	0
2026-03-09	0	1840790	0	0	0	0	0	0	0	0	0	0
2026-03-16	22661013	24912738	20840324	10161534	15721220	20558393	9924702	9498660	7825646	33597200	9309810	5086512
2026-03-23	9177494	3886380	0	5969022	5321650	6146633	6370773	4192512	5197805	1864877	0	4127004
2026-03-30	0	0	0	0	204800	0	0	0	0	0	0	0
