region	bytes_sent
GitHub	10437699772
US/New York	6048740083
AWS/us-east-2	11646882899
US/Pennsylvania	412461896
GCP/us-central1	5492436825
VPN	334637983
US/District of Columbia	701689040
IT/Liguria	1421830945
US/New Hampshire	130343803
GCP/us-east4	854589440
US/Connecticut	1374262853
US/Washington	27736272
US/Texas	30344377
AWS/us-east-1	833126753
US/Massachusetts	2121791178
GCP/us-east1	106114186
CN/Shanghai	535402053
GCP/asia-east1	1367208056
KR/Seoul	13483984
US/Georgia	30330204
PT/Braga	1374262853
US/Wisconsin	1374262853
US/Utah	1374262853
MX/Mexico City	669253
