week_start	sub-Fish01-GCaMP-vlgut-FBd-5dpf-RandomWave/sub-Fish01-GCaMP-vlgut-FBd-5dpf-RandomWave_ses-20210818T112556_behavior+ophys.nwb	sub-Fish02-GCaMP-vlgut-FBv-5dpf-RandomWave/sub-Fish02-GCaMP-vlgut-FBv-5dpf-RandomWave_ses-20210818T173531_behavior+ophys.nwb	sub-Fish13-GCaMP-vlgut-FBv-5dpf-RandomWave/sub-Fish13-GCaMP-vlgut-FBv-5dpf-RandomWave_ses-20210830T100716_behavior+ophys.nwb	sub-Fish31-GCaMP-vlgut-FBd-5dpf-RandomWave/sub-Fish31-GCaMP-vlgut-FBd-5dpf-RandomWave_ses-20210920T120959_behavior+ophys.nwb	sub-Fish32-GCaMP-vlgut-FBv-5dpf-RandomWave/sub-Fish32-GCaMP-vlgut-FBv-5dpf-RandomWave_ses-20210920T181347_behavior+ophys.nwb	sub-Fish41-GCaMP-vlgut-FBv-7dpf-RandomWave/sub-Fish41-GCaMP-vlgut-FBv-7dpf-RandomWave_ses-20210929T173736_behavior+ophys.nwb	sub-Fish47-GCaMP-vlgut-FBd-7dpf-RandomWave/sub-Fish47-GCaMP-vlgut-FBd-7dpf-RandomWave_ses-20211124T174401_behavior+ophys.nwb	sub-Fish58-GCaMP-vlgut-FBd-5dpf-RandomWave/sub-Fish58-GCaMP-vlgut-FBd-5dpf-RandomWave_ses-20220525T092829_behavior+ophys.nwb
2023-03-13	1459617792	3492971998	2122317824	1669332992	1536364426	1845261532	1577058304	2399516302
2023-03-20	0	0	0	0	0	0	0	1089507797
2023-04-03	0	0	0	0	2815664856	0	0	0
2023-04-10	0	0	0	0	1399840452	0	0	0
2023-04-17	0	0	0	0	2813306568	0	0	0
2023-04-24	0	0	0	0	2054199864	0	0	0
2023-05-01	0	0	0	0	3524330400	0	0	0
2023-05-08	0	0	0	0	3447358500	0	0	0
2023-05-15	0	0	0	0	4116981276	0	0	0
2023-05-22	0	0	0	0	2938099308	0	0	15231032
2023-05-29	0	0	0	0	2988933516	0	0	13969712
2023-06-05	0	0	0	0	2293173048	0	0	11653312
2023-06-12	0	0	0	0	2454584760	0	0	15831456
2023-06-19	0	0	0	0	0	0	0	2116705806
2023-06-26	0	0	0	0	2933841288	0	0	3384492779
2023-07-03	0	0	0	0	3192990936	0	0	170552127
2023-07-10	0	0	0	0	2713865424	0	0	11480640
2023-07-17	0	0	0	0	3771557592	0	0	12415856
2023-07-24	0	0	0	0	4225134984	0	0	13178088
2023-07-31	0	0	0	0	172024008	0	0	13917336
2023-08-07	0	0	103858852	0	2364118212	0	0	14355760
2023-08-14	0	0	0	0	3438711444	0	0	13813704
2023-08-21	0	0	0	0	3109206204	0	0	14370104
2023-08-28	0	0	0	0	3610211388	0	0	16969320
2023-09-04	0	0	0	0	3532453392	0	0	14605352
2023-09-11	0	0	0	0	2366345484	0	0	12254824
2023-09-18	0	0	0	0	2680194312	0	0	12947760
2023-09-25	0	0	0	0	1053106608	0	0	14826712
2023-10-02	0	0	0	0	1945063536	0	0	6207744
2023-10-09	0	0	0	0	2875342644	0	0	1816528
2023-10-16	0	0	0	0	1561907244	0	0	3368528
2023-10-23	0	0	0	0	25089564	0	0	0
2023-10-30	0	11636543898	4235528804	0	12847725594	3665589468	7795879520	7993180726
2023-11-06	0	0	0	0	1853090304	0	0	2250304
2023-11-13	0	0	0	0	486986472	0	0	4781266284
2023-11-20	0	0	0	0	0	0	0	2793962122
2023-11-27	0	0	0	0	0	0	0	6077496
2023-12-04	20971520	848463326	555745280	835096274	834867082	572290268	524288000	1106643311
2023-12-11	0	0	0	0	0	0	0	4023120
2024-01-15	3730012683	0	0	0	0	0	0	0
2024-01-22	0	97244656	33852004	39457818	37899246	0	97680924	32795504
2024-01-29	158201820	479063388	133923524	304415676	186763308	223096244	141474332	266683068
2024-02-26	32091056	0	0	0	0	0	0	0
2024-03-04	81557460	0	283322100	0	0	136649688	309590808	975210873
2024-03-11	330414036	1021992616	109913820	102677348	316366832	300240912	406418180	651997584
2024-03-18	33100604	5568180	16835556	169911724	28716056	402677676	19899692	248907384
2024-03-25	613887063	863607700	200482592	241359202	250697692	461779960	128679520	407955086
2024-04-01	83907268	122259786	140943648	29863634	108017718	173399560	167070700	82340679
2024-04-08	0	670519296	228799632	617991890	0	8516040	0	140359012
2024-04-15	638338070	0	173320804	0	0	598312156	475164672	8843580
2024-04-22	1351911851	1272621666	715244744	1133555410	1283522842	875344104	564573344	516408676
2024-04-29	52961280	892577246	0	0	43265930	0	226248496	500445500
2024-05-06	104484648	0	188182528	266772480	365977600	1049863388	0	772232098
2024-05-13	0	0	167530896	0	156671352	1960772612	176877568	0
2024-05-20	24530944	81686528	0	72265728	50449432	314421248	193439712	571031552
2024-05-27	637130975	272497968	491902152	565128914	23582880	38612992	524828672	0
2024-06-03	1284748639	0	0	277409792	924842636	832279772	0	935406407
2024-06-10	0	0	183357440	0	0	0	257806336	0
2024-07-08	4575917078	8576139514	685899720	748719826	873402250	857796084	611975168	830655143
2024-07-15	9957216	0	0	0	0	0	0	0
2024-07-22	0	8843580	0	10022724	11136360	131016	0	0
2024-08-12	11594916	0	0	0	0	0	0	0
2024-08-26	20962560	16442508	21617640	14084220	6616308	17032080	25482612	254208572
2024-09-09	680388652	0	0	722709622	1716673852	0	2605462196	0
2024-09-16	1473346059	1589410430	1222836084	1622901814	1217463674	767358140	654311424	1541199535
2024-09-23	862157323	848463326	838142564	1350376868	834867082	1616439736	1032564320	1205188238
2024-10-21	0	5502672	8581548	13036092	0	10022724	0	11791440
