week_start	sub-mouse02/sub-mouse02_ses-20250602T004032_image+ophys.nwb	sub-mouse02/sub-mouse02_ses-20250602T042519_image+ophys.nwb	sub-mouse02/sub-mouse02_ses-20250602T111036_image+ophys.nwb	sub-mouse02/sub-mouse02_ses-20250602T122254_image+ophys.nwb	sub-mouse03/sub-mouse03_ses-20250531T140210_image+ophys.nwb	sub-mouse03/sub-mouse03_ses-20250602T005329_image+ophys.nwb	sub-mouse03/sub-mouse03_ses-20250602T014432_image+ophys.nwb	sub-mouse03/sub-mouse03_ses-20250602T043814_image+ophys.nwb	sub-mouse03/sub-mouse03_ses-20250602T112004_image+ophys.nwb	sub-mouse05/sub-mouse05_ses-20250602T003021_image+ophys.nwb	sub-mouse05/sub-mouse05_ses-20250602T011131_image+ophys.nwb	sub-mouse05/sub-mouse05_ses-20250602T020347_image+ophys.nwb	sub-mouse05/sub-mouse05_ses-20250602T115717_image+ophys.nwb
2025-06-02	13246273311	5049062536	5161437628	12184099776	9486265340	6746873964	7779397792	7164064172	7149766452	7590793696	8682074680	6507194960	7797078328
2025-06-09	0	5216964	5270184	5085948	4127004	4990688	4730704	4666220	4127004	4672364	4999904	518736	505424
2025-07-21	0	0	0	0	0	0	0	9283189328	0	0	0	0	16820361632
2025-07-28	0	2097152	2097152	2097152	2097152	6136266752	2097152	2097152	2097152	2097152	2097152	2097152	0
2025-08-04	6774875728	0	4946293328	0	0	0	0	0	0	0	0	8570792528	0
2025-08-11	0	9025397328	0	0	8388608000	0	11409010688	0	0	9754792528	11301442128	0	0
2025-08-18	0	0	0	7285416528	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	9096002128	0	0	0	0	0	6868172800	0	0
2025-09-01	0	0	0	0	0	0	7987803728	0	7351029328	0	0	0	0
2025-09-08	0	0	5418152528	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	19539540	0	0	0	0	0	0	0	0	0
2025-10-13	8872027728	11541979728	8459022928	12633154128	0	10597314128	0	0	0	0	0	0	10215208528
2025-11-10	676176132	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	0	0	0	0	0	0	0	0	0	74249236	0	0	0
2025-12-15	19848924	15328872	6878340	10088232	12782002080	21212184400	11087784744	21741187080	11043580080	24977771160	28364964	11304099484	17432553552
2025-12-22	0	0	0	9812484688	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	6974969656	0	0	0	3645271100	0	0	0	0	14978410628
2026-01-19	0	0	0	0	0	7577415248	0	0	0	0	0	7946889808	0
2026-01-26	6166701648	7012131408	0	0	7738096208	0	0	0	8137461328	6373134928	0	0	0
2026-02-02	0	0	5311037440	0	0	0	6674186240	0	0	0	8404336640	0	0
2026-02-16	307200	9475772	22523308	8439088	20549172	7054524	10722972	15852936	21269760	11637536	0	0	0
2026-02-23	4319952572	5656588	9205464	4192512	4499712	0	4787964	5238092	4679532	578128	0	0	0
2026-03-02	0	0	4705132	0	4551532	0	0	0	0	0	5098180	0	0
2026-03-09	37041792	41877940	37041792	245130864	37041792	40972272	37041792	37041792	37041792	37041792	37041792	37041792	41567724
2026-03-16	8922285504	11592447424	0	12691437056	0	0	37041792	12704558848	0	0	8189100672	11346154944	8057484
2026-03-23	4213676980	5159433392	0	12702353792	18519743936	4739388592	9896514544	12291815896	0	0	6543261644	5049455792	0
2026-03-30	0	0	0	0	4127004	0	0	0	0	0	373328	0	0
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	0	1048128
2026-04-13	8909088	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	0	0	4127004	0	0	0	0	0	0	0	0	0	0
