week_start	sub-CS-fly#-1/sub-CS-fly#-1_behavior.nwb	sub-CS-fly#-2/sub-CS-fly#-2_behavior.nwb	sub-CS-fly#-3/sub-CS-fly#-3_behavior.nwb
2023-03-27	48063532	0	0
2023-05-01	0	43073536	0
2023-06-19	0	0	22640864
2023-06-26	0	0	128770256
2023-07-03	0	0	1569560
2023-07-10	0	0	1239752
2023-07-17	0	0	1334416
2023-07-24	35813536	0	1135224
2023-07-31	0	0	1140920
2023-08-07	35813536	0	1447688
2023-08-14	0	0	1255744
2023-08-21	0	0	1040856
2023-08-28	71627072	0	1440288
2023-09-04	0	0	1478272
2023-09-11	0	14339524	861744
2023-09-18	0	0	1103040
2023-09-25	35813536	0	1575480
2023-10-02	0	0	634336
2023-10-09	0	0	199104
2023-10-16	35813536	0	482552
2023-10-23	71627072	0	0
2023-10-30	35813536	0	279048
2023-11-06	0	0	235408
2023-11-13	35813536	0	220968
2023-11-20	0	0	19996236
2023-11-27	35813536	0	21437536
2023-12-04	35813536	37830656	43132344
2023-12-11	0	0	456392
2024-01-01	71627072	0	0
2024-01-22	5044116	12529308	8723860
2024-02-05	0	49982604	0
2024-03-04	0	37830656	42875072
2024-03-11	10781420	5978536	8146608
2024-03-18	240267316	0	0
2024-03-25	274092268	156177208	190780628
2024-04-01	386047220	0	128439252
2024-04-08	426871514	241459320	242875956
2024-04-15	376944152	326118364	712863220
2024-04-22	896709320	0	825445748
2024-04-29	730942940	566736268	158722816
2024-05-06	646530020	181435644	1126915524
2024-05-13	651913964	118929880	328900380
2024-05-20	325572820	203449248	385527904
2024-05-27	331706316	544282528	236102712
2024-06-03	824026772	263445904	64784860
2024-06-10	0	0	423170816
2024-07-08	8941088	0	9507072
2024-07-22	35813536	43073536	21437536
2024-07-29	11594916	10088232	52766780
2024-08-26	5437164	13756680	45544480
2024-09-02	0	9957216	0
2024-09-09	85582464	23232512	128625216
2024-09-16	7074864	9123144	6419784
2024-10-21	0	14149728	0
2024-11-11	4782084	0	0
2025-06-23	51920000	45504000	30835200
2025-07-14	21240000	28440000	15417600
2025-07-28	0	0	21437536
2025-08-04	0	43073536	0
2025-09-29	0	0	2119872
2025-10-06	0	0	23532616
2025-12-15	76343648	6812832	37880044
2026-01-12	35813536	86147072	0
2026-01-19	20971520	0	0
2026-01-26	0	16859136	10951776
2026-02-16	13089536	44097536	35039072
2026-02-23	0	0	2119872
2026-03-09	4389036	0	0
2026-03-23	0	0	4258020
2026-04-06	0	5830212	1879136
