asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-M4-session2/sub-M4-session2_behavior.nwb	214931368	110	53	18
sub-M2-session3/sub-M2-session3_behavior.nwb	197305276	106	48	21
sub-M1-session3/sub-M1-session3_behavior.nwb	203957378	149	60	31
sub-M3-session3/sub-M3-session3_behavior.nwb	216491752	71	39	12
sub-M5-session3/sub-M5-session3_behavior.nwb	211505848	65	38	9
sub-M5-session1/sub-M5-session1_behavior.nwb	127705920	65	24	12
sub-M3-session1/sub-M3-session1_behavior.nwb	236488384	78	37	14
sub-M3-session2/sub-M3-session2_behavior.nwb	194241100	61	30	12
sub-M2-session2/sub-M2-session2_behavior.nwb	151961520	93	37	20
sub-M4-session1/sub-M4-session1_behavior.nwb	147449556	59	29	12
sub-M5-session2/sub-M5-session2_behavior.nwb	163652508	91	37	19
sub-M1-session1/sub-M1-session1_behavior.nwb	188381494	230	37	19
sub-M1-session2/sub-M1-session2_behavior.nwb	216514779	108	51	18
sub-M4-session3/sub-M4-session3_behavior.nwb	84942020	59	30	12
sub-M2-session1/sub-M2-session1_behavior.nwb	188302590	87	36	16
