week_start	sub-M1-session1/sub-M1-session1_behavior.nwb	sub-M1-session2/sub-M1-session2_behavior.nwb	sub-M1-session3/sub-M1-session3_behavior.nwb	sub-M2-session1/sub-M2-session1_behavior.nwb	sub-M2-session2/sub-M2-session2_behavior.nwb	sub-M2-session3/sub-M2-session3_behavior.nwb	sub-M3-session1/sub-M3-session1_behavior.nwb	sub-M3-session2/sub-M3-session2_behavior.nwb	sub-M3-session3/sub-M3-session3_behavior.nwb	sub-M4-session1/sub-M4-session1_behavior.nwb	sub-M4-session2/sub-M4-session2_behavior.nwb	sub-M4-session3/sub-M4-session3_behavior.nwb	sub-M5-session1/sub-M5-session1_behavior.nwb	sub-M5-session2/sub-M5-session2_behavior.nwb	sub-M5-session3/sub-M5-session3_behavior.nwb
2024-08-26	323688	0	4339824	4389036	0	0	13017184	0	0	348888	4855660	0	0	5501108	12178040
2024-09-02	0	4730312	4004920	5625112	5858632	11787216	8304024	14747392	14011344	5460696	5054200	0	7801848	5568856	7333416
2024-09-09	0	0	0	0	5858632	0	0	0	7005672	0	0	0	0	5568856	0
2024-09-16	4389036	0	2161764	4771268	4389036	388584	0	426880	6616308	348888	335608	2475068	330744	0	4841144
2024-09-30	4327680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-07	0	0	0	0	0	0	0	0	0	0	5054200	0	0	0	0
2024-10-28	9035984	4730312	4004920	0	5858632	5893608	0	14121020	0	0	13832272	0	6616308	11137712	0
2024-12-02	4517992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	4127004	0	0	0	0	0	0	0	0	0	0	204800	0	0	0
2025-04-07	194304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	5893608	0	0	0	0	0	3065816	0	0	7333416
2025-08-04	0	0	0	0	5858632	0	0	0	0	0	5054200	0	0	5568856	0
2025-08-11	0	0	0	0	0	0	8304024	0	0	0	0	0	7801848	0	0
2025-08-18	0	0	0	0	0	0	0	0	7005672	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	3065816	0	0	0
2025-10-06	0	0	6501588	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	13553976	4127004	12014760	5625112	17575896	5893608	14658300	20082248	23575512	5460696	14169896	9197448	0	22275424	7333416
2025-12-22	0	0	0	0	0	0	0	0	0	0	5054200	0	0	0	0
2025-12-29	0	0	0	0	0	5893608	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	0	0	0	5460696	10108400	9197448	0	0	0
2026-01-19	0	0	0	0	0	0	0	0	7005672	0	0	0	0	0	14666832
2026-01-26	0	0	0	0	5858632	0	0	0	0	0	0	0	7801848	0	0
2026-02-16	4389036	409600	8214640	9948640	4593836	4528328	7860960	11771008	7083140	5870296	0	0	0	0	0
2026-02-23	0	409600	204800	0	204800	0	0	0	0	0	0	0	0	0	0
2026-03-02	4708628	0	318520	0	4716576	0	0	0	0	0	343800	0	4978608	0	0
2026-03-09	0	0	0	0	0	0	4509336	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	0	0	0	982620	0	10108400	0	0	0	0
2026-03-23	0	0	0	1310160	0	0	0	0	0	0	0	0	326648	0	0
