week_start	sub-Jenkins/sub-Jenkins_ses-full_desc-test_ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-full_desc-train_behavior+ecephys.nwb
2021-08-30	6785376	2441711086
2021-09-06	0	29166509
2021-09-13	44104944	4143673482
2021-09-20	13570752	1381224494
2021-09-27	91602576	25670100885
2021-10-04	30534192	5637731636
2021-10-11	13570752	2762448988
2021-10-18	20356128	2762448988
2021-10-25	10178064	2762448988
2021-11-01	27141504	4834285729
2021-11-08	13570752	4548682119
2021-11-15	16963440	3250228393
2021-11-22	16963440	2148103837
2021-11-29	23748816	5524897976
2021-12-06	23748816	6215510223
2021-12-13	27141504	2820384760
2021-12-20	16963440	2083118621
2021-12-27	13570752	3453061235
2022-01-10	16963440	2959147953
2022-01-17	13570752	1396985475
2022-01-24	6785376	2071836741
2022-01-31	3392688	1381224494
2022-02-07	16963440	6215510223
2022-02-14	6785376	4143673482
2022-02-21	37319568	6215510223
2022-02-28	20356128	6241767929
2022-03-07	16963440	4834285729
2022-03-14	13570752	2762448988
2022-03-21	16963440	3453061235
2022-03-28	44104944	8287346964
2022-04-04	13570752	1697242938
2022-04-11	3413241	1072991620
2022-04-18	6785376	1381224494
2022-04-25	6785376	690612247
2022-05-02	27141504	3502721232
2022-05-09	16963440	836938952
2022-05-16	3558064	2762448988
2022-05-23	6785376	690612247
2022-05-30	6785376	2762448988
2022-06-06	0	690612247
2022-06-13	3392688	1409594635
2022-06-20	6785376	690612247
2022-07-04	3392688	0
2022-07-11	3392688	3096545395
2022-07-18	6785376	2071836741
2022-07-25	20356128	5665486648
2022-08-01	57675696	2762448988
2022-08-08	84817200	4834285729
2022-08-15	37319568	0
2022-08-22	13570752	3453061235
2022-08-29	13570752	4834285729
2022-09-05	0	2762448988
2022-09-12	6785376	3357852948
2022-09-26	6785376	789575831
2022-10-03	20356128	3832926346
2022-10-10	3392688	690612247
2022-10-17	2027355	690612247
2022-10-24	0	710089612
2022-10-31	26284040	4753795641
2022-11-07	6785376	1381224494
2022-11-14	19153452	3259448047
2022-11-21	16963440	6215510223
2022-11-28	27141504	4834285729
2022-12-05	20356128	4834285729
2022-12-12	10178064	2855024009
2022-12-19	23748816	2762448988
2022-12-26	3392688	690612247
2023-01-02	3392688	811658307
2023-01-09	10178064	690612247
2023-01-16	3392688	690612247
2023-01-23	16963440	2089030258
2023-01-30	6785376	2071836741
2023-02-06	16963440	1594214593
2023-02-13	20356128	1767337299
2023-02-20	23748816	5538627425
2023-02-27	6785376	2800210104
2023-03-06	6785376	2071836741
2023-03-13	10178064	2762448988
2023-03-20	13570752	2589612674
2023-03-27	6785376	1931135463
2023-04-03	3392688	1721921815
2023-04-10	6785376	1716621639
2023-04-17	6785376	3608033860
2023-04-24	3392688	2868990674
2023-05-01	0	2729649112
2023-05-08	16963440	4380417419
2023-05-15	13570752	4777048769
2023-05-22	18245904	5408335198
2023-05-29	4253024	948316794
2023-06-05	704008	3140487619
2023-06-12	4448624	3689909987
2023-06-19	14553472	0
2023-06-26	27947984	2024228980
2023-07-03	886160	1859348754
2023-07-10	10802608	2037171568
2023-07-17	11134560	3445170638
2023-07-24	17832936	21378944257
2023-07-31	7927088	4305743883
2023-08-07	18970452	2422279646
2023-08-14	17774576	3292761514
2023-08-21	17695080	4459471424
2023-08-28	8042424	1966919727
2023-09-04	7918144	2586427667
2023-09-11	7735992	3358501145
2023-09-18	984160	3116106815
2023-09-25	4396760	2072471090
2023-10-02	3815136	1133806648
2023-10-09	16963440	4817708011
2023-10-16	10178064	5021867466
2023-10-23	10354120	5439961249
2023-10-30	13628896	2299632578
2023-11-06	0	1925708511
2023-11-13	13693136	526942536
2023-11-20	8677032	690612247
2023-11-27	6785376	690612247
2023-12-04	6944552	741593134
2023-12-18	3392688	53423020
2024-01-01	13570752	4380646918
2024-01-08	13688664	5850327775
2024-01-15	6785376	2309750853
2024-01-22	8823688	1576544793
2024-01-29	16963440	939743751
2024-02-05	6785376	1405409530
2024-02-12	6785376	1305925407
2024-02-19	3392688	1381224494
2024-02-26	0	696967680
2024-03-04	27141504	1492943023
2024-03-11	6785376	2359998667
2024-03-18	57675696	2896305176
2024-03-25	138948508	2906269691
2024-04-01	112381792	797457459
2024-04-08	128922144	1624705160
2024-04-15	105173328	4753394222
2024-04-22	106586557	3522607240
2024-04-29	173027088	1250424599
2024-05-06	105173328	2694497880
2024-05-13	67853760	742398638
2024-05-20	169634400	4889400782
2024-05-27	78031824	1340681963
2024-06-03	200171880	9262608876
2024-06-10	44104944	2610830638
2024-06-17	20358320	2071836741
2024-06-24	6785376	0
2024-07-01	10178064	1647919626
2024-07-08	30912224	5471721556
2024-07-15	23753312	2071836741
2024-07-22	33926880	7746584220
2024-07-29	23748816	1246341427
2024-08-05	16963440	1475726830
2024-08-12	16963440	6319252015
2024-08-19	10178064	1381224494
2024-08-26	13570752	701164123
2024-09-02	10178064	3698028682
2024-09-09	61068384	9138351856
2024-09-16	16963440	3507181729
2024-09-23	30534192	1388946636
2024-09-30	3392688	2887625447
2024-10-07	20356128	3368027662
2024-10-14	10178064	2738118185
2024-10-21	10178064	4282081751
2024-10-28	10178064	3190905177
2024-11-04	20356128	2108336941
2024-11-11	23748816	3453061235
2024-11-18	12368076	3463950665
2024-11-25	10178064	4172814138
2024-12-02	13570752	2762448988
2024-12-09	40712256	7596734717
2024-12-16	10178064	4143673482
2024-12-23	6785376	1522767022
2024-12-30	10922704	6476048320
2025-01-06	33926880	6509911318
2025-01-13	6785376	1333265391
2025-01-20	10178064	690612247
2025-01-27	6785376	1381224494
2025-02-03	6785376	690612247
2025-02-10	20356128	3419506803
2025-02-24	13570752	690612247
2025-03-03	0	18360
2025-03-10	0	2071836741
2025-03-17	3392688	2092487993
2025-03-24	22574880	3520033403
2025-03-31	16963440	3142682739
2025-04-07	3392688	2071836741
2025-04-14	23748816	2071836741
2025-04-21	13570752	4242954265
2025-05-05	23748816	4843466614
2025-05-12	20356128	2111956633
2025-05-19	25681840	2769349295
2025-05-26	3392688	2071836741
2025-06-02	105173328	1116983779
2025-06-09	49687644	7142408030
2025-06-16	27141504	4860698601
2025-06-23	23748816	3894316818
2025-06-30	23748816	4411373650
2025-07-07	6785376	690612247
2025-07-14	13993840	1874500010
2025-07-21	23748816	3565876987
2025-07-28	6785376	2550741628
2025-08-04	20356128	4195562702
2025-08-11	15760764	2769216567
2025-08-18	16963440	7149734203
2025-08-25	16817221	9400485519
2025-09-01	13570752	5597370923
2025-09-08	20356128	3255049792
2025-09-15	10601152	4209501923
2025-09-22	65299264	2154509246
2025-09-29	16963440	18646530669
2025-10-06	58165372	6246429651
2025-10-13	50882336	1431911100
2025-10-20	25018080	2827283518
2025-10-27	111096560	14027471325
2025-11-03	39078508	2139972432
2025-11-10	35685820	16227085046
2025-11-17	22894656	52091093
2025-11-24	26785004	2782157547
2025-12-01	41981520	22971466210
2025-12-08	14416928	5541945779
2025-12-15	42404608	1432054671
2025-12-22	20356128	2071836741
2025-12-29	10178064	2506886913
2026-01-05	42827696	4186442781
2026-01-12	3392688	1381224494
2026-01-19	51313408	7931525520
2026-01-26	21202304	2086168267
2026-02-02	587036336	5423501764
2026-02-09	14416928	699900109
2026-02-16	27769392	4723939984
2026-02-23	37742656	3105444342
2026-03-02	20356128	3819413596
2026-03-09	50890320	7078710579
2026-03-16	18766684	1383811141
2026-03-23	16963440	5179729538
2026-03-30	6785376	3457441259
2026-04-06	3392688	4114568
