week_start	sub-2-20240806/sub-2-20240806_obj-12ho7cz_image.nwb	sub-2-20240806/sub-2-20240806_obj-15msaav_image.nwb	sub-2-20240806/sub-2-20240806_obj-163oqeb_image.nwb	sub-2-20240806/sub-2-20240806_obj-17mpz2z_image.nwb	sub-2-20240806/sub-2-20240806_obj-1b57bb_image.nwb	sub-2-20240806/sub-2-20240806_obj-1ce4vdr_image.nwb	sub-2-20240806/sub-2-20240806_obj-1cvkgkq_image.nwb	sub-2-20240806/sub-2-20240806_obj-1hd73m3_image.nwb	sub-2-20240806/sub-2-20240806_obj-1kajzy_image.nwb	sub-2-20240806/sub-2-20240806_obj-1oqct7b_image.nwb	sub-2-20240806/sub-2-20240806_obj-1pgpvdw_image.nwb	sub-2-20240806/sub-2-20240806_obj-1rruv98_image.nwb	sub-2-20240806/sub-2-20240806_obj-1w1ugdl_image.nwb	sub-2-20240806/sub-2-20240806_obj-8k0y5s_image.nwb	sub-2-20240806/sub-2-20240806_obj-azo94f_image.nwb	sub-2-20240806/sub-2-20240806_obj-c47t4k_image.nwb	sub-2-20240806/sub-2-20240806_obj-ly6tdf_image.nwb	sub-2-20240806/sub-2-20240806_obj-lzyx9c_image.nwb	sub-2-20240806/sub-2-20240806_obj-nk2l12_image.nwb	sub-2-20240806/sub-2-20240806_obj-wj6xyy_image.nwb	sub-3-20240806/sub-3-20240806_obj-13c73bg_image.nwb	sub-3-20240806/sub-3-20240806_obj-13de6gi_image.nwb	sub-3-20240806/sub-3-20240806_obj-14cxocc_image.nwb	sub-3-20240806/sub-3-20240806_obj-154faft_image.nwb	sub-3-20240806/sub-3-20240806_obj-19bz2r4_image.nwb	sub-3-20240806/sub-3-20240806_obj-19rvyti_image.nwb	sub-3-20240806/sub-3-20240806_obj-1brncy6_image.nwb	sub-3-20240806/sub-3-20240806_obj-1dciju5_image.nwb	sub-3-20240806/sub-3-20240806_obj-1l7lyom_image.nwb	sub-3-20240806/sub-3-20240806_obj-1osvi8f_image.nwb	sub-3-20240806/sub-3-20240806_obj-1peicxh_image.nwb	sub-3-20240806/sub-3-20240806_obj-1pgrchx_image.nwb	sub-3-20240806/sub-3-20240806_obj-1wxdxgr_image.nwb	sub-3-20240806/sub-3-20240806_obj-1xnvot7_image.nwb	sub-3-20240806/sub-3-20240806_obj-31ar3t_image.nwb	sub-3-20240806/sub-3-20240806_obj-3kjivf_image.nwb	sub-3-20240806/sub-3-20240806_obj-40njp_image.nwb	sub-3-20240806/sub-3-20240806_obj-6ed2ig_image.nwb	sub-3-20240806/sub-3-20240806_obj-a8irab_image.nwb	sub-3-20240806/sub-3-20240806_obj-e4er5h_image.nwb	sub-3-20240806/sub-3-20240806_obj-id1eo_image.nwb	sub-3-20240806/sub-3-20240806_obj-knr0a3_image.nwb	sub-3-20240806/sub-3-20240806_obj-kx8f6o_image.nwb	sub-3-20240806/sub-3-20240806_obj-ne8akk_image.nwb	sub-3-20240806/sub-3-20240806_obj-qviu3j_image.nwb	sub-3-20240806/sub-3-20240806_obj-tplqut_image.nwb	sub-3-20240806/sub-3-20240806_obj-wkmbqt_image.nwb	sub-3-20240806/sub-3-20240806_obj-wl6qo0_image.nwb	sub-3-20240806/sub-3-20240806_obj-xers05_image.nwb	sub-4-20240806/sub-4-20240806_obj-122mnth_image.nwb	sub-4-20240806/sub-4-20240806_obj-12ozdmy_image.nwb	sub-4-20240806/sub-4-20240806_obj-13bysyw_image.nwb	sub-4-20240806/sub-4-20240806_obj-1453oo_image.nwb	sub-4-20240806/sub-4-20240806_obj-1ascgst_image.nwb	sub-4-20240806/sub-4-20240806_obj-1egbhxh_image.nwb	sub-4-20240806/sub-4-20240806_obj-1owpokk_image.nwb	sub-4-20240806/sub-4-20240806_obj-4cvlz9_image.nwb	sub-4-20240806/sub-4-20240806_obj-6klx1r_image.nwb	sub-4-20240806/sub-4-20240806_obj-9crbta_image.nwb	sub-4-20240806/sub-4-20240806_obj-cwtq3u_image.nwb	sub-4-20240806/sub-4-20240806_obj-d65d0j_image.nwb	sub-4-20240806/sub-4-20240806_obj-insd1t_image.nwb	sub-4-20240806/sub-4-20240806_obj-kpay7g_image.nwb	sub-4-20240806/sub-4-20240806_obj-udn8z_image.nwb	sub-4-20240806/sub-4-20240806_obj-ug01km_image.nwb
2024-12-16	699899	0	0	696827	700142	701426	700977	702201	0	698016	698987	701627	0	650874	699959	703312	0	700587	704176	701947	678021	677020	675808	682471	711768	675935	676799	0	676484	0	676558	676416	675232	0	680369	678378	677626	0	675209	676037	677655	676511	676973	678484	676291	0	676916	681168	676517	654217	0	657471	0	656738	663667	668424	655948	0	658476	657734	656611	658527	0	661642	655455
2025-01-27	437755	438528	701056	1131510	700142	1140708	438833	1142258	1138778	698016	698987	439483	1136480	650874	1137774	441168	1135276	1139030	442032	1141750	678021	414876	1089472	1102798	1030320	1089726	1091454	1087934	1090824	678229	1090972	676416	1088320	1092546	0	1094612	1093108	0	413065	1089930	677655	676511	676973	1094824	0	1096916	676916	681168	676517	1046290	0	1314942	1048832	1051332	0	1074704	655948	1059634	658476	395590	1051078	1054910	1050506	0	393311
2025-02-10	0	0	701056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-17	1137654	438528	701056	1131510	1138140	439282	1139810	1142258	438317	1133888	1135830	439483	699312	1039604	1137774	441168	1135276	1139030	0	701947	1771919	0	1089472	682471	0	0	414655	1087934	1090824	416085	0	414272	0	415201	0	1094612	415482	0	675209	1089930	1093166	1090878	676973	416340	1090438	0	1768604	1100192	414373	0	0	0	1048832	1051332	1065190	668424	655948	1059634	658476	657734	656611	1054910	394181	399498	1048766
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	204800	0	0	0	0	0	0	0	0	0	0	0	0	711768	0	0	0	0	0	0	0	0	0	0	678378	0	0	0	0	0	0	0	0	369091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350534	0	0	0	0	0
2025-07-21	0	0	1402112	0	0	701426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660889	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	0	0	0	0	0	699312	0	0	703312	698710	0	704176	0	678021	0	675808	682471	0	0	0	0	676484	0	676558	0	0	0	0	0	0	0	0	676037	0	0	676973	0	0	0	0	0	676517	0	0	0	0	0	0	0	655948	0	658476	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	702201	700461	0	698987	0	0	0	0	0	0	700587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675920	0	0	677655	676511	0	0	0	0	0	0	0	0	0	657471	0	656738	0	0	0	0	0	0	656611	0	0	661642	0
2025-08-11	0	0	0	0	0	0	700977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711768	0	0	0	0	0	0	676416	0	0	0	0	0	0	675209	0	0	0	0	0	0	0	0	0	0	0	655706	0	655488	0	0	668424	0	0	0	0	0	0	0	0	1310910
2025-08-18	0	0	0	0	0	0	0	0	0	698016	0	701627	0	0	0	0	0	0	0	0	0	0	0	0	0	675935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	702201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676037	677655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	696827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676973	0	0	0	0	0	0	0	0	0	655488	0	0	0	0	0	0	0	0	0	656325	0	0
2025-09-08	0	700672	0	0	0	0	0	0	0	0	0	0	0	0	0	703312	0	0	704176	0	0	0	0	0	0	0	0	0	0	678229	0	0	675232	0	0	0	0	0	0	0	0	0	0	0	0	0	676916	1362336	0	0	0	0	0	0	663667	0	0	0	0	0	0	0	0	0	0
