week_start	Neurophysiology	Microscopy	Miscellaneous
2023-05-08	0	0	13321
2023-10-16	0	0	327
2023-10-23	0	0	1058
2023-10-30	0	0	66
2023-11-06	0	0	1039
2024-08-26	0	0	1090
2024-09-02	0	0	8733
2024-09-09	0	0	8612
2024-12-30	0	0	295
2025-02-10	0	0	295
2025-05-19	715307698	546232	353998
2025-05-26	31600000	0	0
2025-06-09	705542504	0	0
2025-06-16	21126080	0	0
2025-07-14	3573376	0	0
2025-07-21	31571624	0	2711
2025-07-28	135024328	84350	46973
2025-08-04	76119040	0	21370
2025-08-11	112767864	0	63477
2025-08-18	27615272	0	3531
2025-08-25	43875384	112710	22225
2025-09-01	66153424	0	6372
2025-09-08	24654560	0	35893
2025-10-06	0	0	5369
2025-10-13	0	0	3304
2025-10-20	0	0	2065
2025-10-27	0	0	2065
2025-11-03	0	0	7847
2025-11-10	0	0	4130
2025-11-17	0	0	3304
2025-11-24	353515208	315291	207396
2025-12-01	0	0	4130
2025-12-08	17121032	0	4408
2025-12-15	1312651644	793761	515476
2025-12-22	33404280	0	5927
2025-12-29	38051072	0	25956
2026-01-05	49726296	118231	9344
2026-01-12	445933032	596701	296238
2026-01-19	58932856	112710	10009
2026-01-26	146070800	0	65926
2026-02-02	46296800	0	1947
2026-02-09	0	0	1239
2026-02-16	39872280	0	413
2026-02-23	346099644	0	1239
2026-03-02	352733748	0	0
2026-03-09	108649220	0	0
2026-03-16	262744368	168700	102739
2026-03-23	36536760	0	826
2026-03-30	26925616	461882	97412
2026-04-06	14136416	0	0
2026-04-13	7068208	0	0
2026-04-20	52933336	0	6856
