week_start	sub-RSpinal-Random-Wave-01/sub-RSpinal-Random-Wave-01_ses-20210724T194543_behavior+ophys.nwb	sub-RSpinal-Random-Wave-03/sub-RSpinal-Random-Wave-03_ses-20211007T145521_behavior+ophys.nwb	sub-RSpinal-Random-Wave-04/sub-RSpinal-Random-Wave-04_ses-20211008T101450_behavior+ophys.nwb	sub-RSpinal-Random-Wave-05/sub-RSpinal-Random-Wave-05_ses-20211008T163009_behavior+ophys.nwb	sub-RSpinal-Random-Wave-06/sub-RSpinal-Random-Wave-06_ses-20211013T103511_behavior+ophys.nwb	sub-RSpinal-Random-Wave-07/sub-RSpinal-Random-Wave-07_ses-20211028T210141_behavior+ophys.nwb
2023-03-13	973078528	2956834738	3624224072	4387241984	5062617898	1086071424
2023-04-03	0	0	0	0	0	1622307860
2023-04-10	0	0	0	0	5601539477	1066208208
2023-04-17	0	0	0	0	0	1615427280
2023-04-24	0	0	0	0	0	1768584984
2023-05-01	0	0	0	0	0	2907703596
2023-05-08	0	0	0	0	0	3133575180
2023-05-15	0	0	0	0	0	3408839796
2023-05-22	9097384	0	0	0	0	3274941444
2023-05-29	10742688	0	0	0	0	2598309312
2023-06-05	10401400	0	0	0	0	1590337716
2023-06-12	9703408	0	0	0	0	3147331860
2023-06-19	1136067987	0	0	0	0	0
2023-06-26	1783147676	0	0	0	0	2655890844
2023-07-03	160912523	0	0	0	0	2900956272
2023-07-10	2247179714	0	0	0	0	2263825464
2023-07-17	549942486	0	0	0	0	3469434696
2023-07-24	104326000	0	0	0	0	3410018940
2023-07-31	159110242	0	0	0	0	375295332
2023-08-07	44538840	0	0	0	0	2165104908
2023-08-14	8988080	0	0	0	0	3058961568
2023-08-21	10295216	0	0	0	0	2784941604
2023-08-28	11345832	0	0	0	0	2982448224
2023-09-04	62695460	0	0	0	0	2578722420
2023-09-11	9493312	0	0	0	0	2301689088
2023-09-18	7789344	0	0	0	0	2312039352
2023-09-25	9748584	0	0	0	0	808892784
2023-10-02	3746856	0	0	0	0	1620405888
2023-10-09	834296	0	0	0	0	2093439156
2023-10-16	1337896	0	0	0	0	1321034328
2023-10-23	2641360	0	0	0	2707469717	30002664
2023-10-30	1120320	0	5167727944	0	5601539477	4925037736
2023-11-06	2778664	0	0	0	0	1832651808
2023-11-13	3524578510	0	0	0	0	474867492
2023-11-20	2935619021	0	0	0	0	0
2023-11-27	1485424	0	0	0	0	0
2023-12-04	758349310	608174080	422921544	639631360	524288000	98312832
2023-12-11	3272256	0	0	0	0	0
2024-01-15	0	4240291762	0	0	0	0
2024-01-22	81999894	11005344	126973348	62502524	89821018	61674112
2024-01-29	51037452	232853512	240086272	276912968	142522460	138876960
2024-02-19	0	0	0	0	0	15721920
2024-03-04	925492038	177788712	214735224	212901000	250175052	35243304
2024-03-11	599652328	500313296	116122340	1170793812	94781184	754447692
2024-03-18	24563524	125873972	407858120	12088676	335402389	33577812
2024-03-25	407352330	258408420	170324312	567193484	269655758	418873000
2024-04-01	71858539	463751078	291489096	57679726	50585600	107927496
2024-04-08	959334786	0	110785864	600650458	0	9879552
2024-04-15	285487051	553973682	566527304	988926394	438494613	198496152
2024-04-22	547689507	647120032	676352000	1009864602	762600213	862098760
2024-04-29	11359079	21796168	0	305529274	534368096	9040104
2024-05-06	49645638	1143908206	91124204	90070824	353508384	0
2024-05-13	125530112	322041994	67219456	0	277808533	514187688
2024-05-20	62676776	10022724	161689600	10555392	89239552	0
2024-05-27	0	112285514	301740032	583427708	100757504	9760692
2024-06-03	145248256	22061056	270895760	0	440421353	1034472320
2024-06-10	0	0	0	857385790	520215529	0
2024-06-17	0	0	7795452	0	0	0
2024-06-24	67108864	0	0	0	0	0
2024-07-08	3233377142	4842829746	5857559880	465040208	585654414	797975168
2024-07-15	0	0	0	0	138144477	0
2024-07-22	131016	0	0	12249996	4328310868	10088232
