week_start	Neurophysiology
2025-01-06	715494876
2025-01-13	1275855172
2025-01-27	5082520
2025-02-10	2397314968
2025-02-17	40782316
2025-03-10	1186908720
2025-03-24	1080603932
2025-03-31	985656756
2025-04-07	2373817440
2025-04-21	2491180952
2025-05-05	5663644580
2025-05-26	650429364
2025-06-02	1186908720
2025-06-30	941758936
2025-07-28	977193520
2025-08-04	48593440
2025-09-08	838860800
2025-09-15	1214422080
2025-10-06	7702840
2025-11-03	1186908720
2025-12-15	1191035724
2026-01-26	27513360
2026-02-02	688835120
2026-02-09	1186908720
2026-02-16	13613600
2026-03-09	1186908720
2026-03-16	6157752
2026-03-23	247340340
2026-03-30	10338200
2026-04-06	3560726160
2026-04-13	1582842405
