week_start	sub-Subject001/sub-Subject001.nwb
2025-01-06	715494876
2025-01-13	1275855172
2025-01-27	5082520
2025-02-10	2397314968
2025-02-17	30000600
2025-03-10	1186908720
2025-03-24	1080603932
2025-03-31	977253000
2025-04-07	2373817440
2025-04-21	2486202344
2025-05-05	5641929592
2025-05-26	650429364
2025-06-02	1186908720
2025-06-30	813520356
2025-07-28	767478320
2025-08-04	48593440
2025-09-08	734003200
2025-09-15	1214422080
2025-10-06	7702840
2025-11-03	1186908720
2025-12-15	4127004
2026-01-26	27513360
2026-02-02	625920560
2026-02-16	13101600
2026-03-16	6157752
2026-03-23	246226704
2026-03-30	512000
2026-04-06	1186908720
2026-04-13	19451132
